2018,1,Access and Mobility,Transportation Research Board (TRB) 97th Annual Meeting,Public Transport Travel Time Reliability Across Modes and Space,,Washignton / United States,7-11 ene 2018,1,0,0,1
2018,1,Access and Mobility,Transportation Research Board (TRB) 97th Annual Meeting,Identifying and Visualising Operational Bottlenecks for Public Transport Considering Queue Length Bus Load Profiles and a Sharper Data Source,,Washignton / United States,7-11 ene 2018,1,0,0,
2018,1,Access and Mobility,Transportation Research Board (TRB) 97th Annual Meeting,Walking and Gender Equity: Insights from Santiago Chile,,Washignton / United States,7-11 ene 2018,1,0,0,1
2018,1,Access and Mobility,Transportation Research Board (TRB) 97th Annual Meeting,Modelling the Loss and Retention of Contacts in Social Networks: The Role of Tie Strength and Dyad-Level Heterogeneity,,Washignton / United States,7-11 ene 2018,1,0,0,
2018,1,Access and Mobility,Transportation Research Board (TRB) 97th Annual Meeting,Time Use and Expenditures for Mobility Analysis in Neighborhoods from Concepción Chile,,Washignton / United States,7-11 ene 2018,1,0,0,
2018,1,Access and Mobility,Transportation Research Board (TRB) 97th Annual Meeting,An Empirical Analysis of the Relationship Between Transport Disadvantage and Subjective Well-Being,,Washignton / United States,7-11 ene 2018,1,0,0,
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,A Smart Dispatching tool based on AVL data,,Brisbane / Australia,25 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,Understanding Fare Evasion Rates in Public Transport,,Brisbane / Australia,24 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,A stochastic model for bus injection in a public transport service,,Brisbane / Australia,24 jul 2018,1,0,1,0
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,Addressing metro line disruptions through boarding limits: The cost and time of system recovery,,Brisbane / Australia,24 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,A Methodology for Correcting Smartcard Trip Matrices by Fare Evasion,,Brisbane / Australia,24 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,What factors determine the variability of the level of service experienced by users?,,Brisbane / Australia,25 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,How does considering bus drivers with different driving behaviors impact the performance of interval control tools?,,Brisbane / Australia,25 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,The underlying effect of public transport reliability over users’ satisfaction,,Brisbane / Australia,25 jul 2018,1,0,0,1
2018,1,Access and Mobility,Conference on Advanced Systems in Public Transport 2018,Ride into the danger zone: avoiding the wrong frequency for an express bus service.,,Brisbane / Australia,24 jul 2018,1,0,0,0
2018,1,Access and Mobility / Built Environment,15th International Conference on Travel Behavior Research,Modeling subjective perceptions of public spaces and their effect on user behavior,,Santa Barbara / Estados Unidos,18 jul 2018,1,0,0,0
2018,1,Access and Mobility / Built Environment,15th International Conference on Travel Behavior Research,Realism in the depiction of alternatives: Assessing the use of static and immersive images in stated preference experiments,,Santa Barbara / Estados Unidos,17 jul 2018,1,0,0,0
2018,1,Access and Mobility,15th International Conference on Travel Behavior Research,Understanding drivers’ accident risk perception: A latent variables’ approach,,Santa Barbara / Estados Unidos,17 jul 2018,1,0,0,1
2018,1,Access and Mobility,15th International Conference on Travel Behavior Research,Understanding the (ir)rationality of public transport travellers,,Santa Barbara / Estados Unidos,17 jul 2018,1,0,0,1
2018,1,Access and Mobility,15th International Conference on Travel Behavior Research,The underlying effect of public transport reliability over users’ satisfaction,,Santa Barbara / Estados Unidos,17 jul 2018,1,0,0,1
2018,1,Access and Mobility,15th International Conference on Travel Behavior Research,A prospect theory model of route choice with context-dependent reference points,,Santa Barbara / Estados Unidos,17 jul 2018,1,0,0,1
2018,1,Access and Mobility,15th International Conference on Travel Behavior Research,A comparative study of contact frequencies and modes among social network members in four countries,,Santa Barbara / Estados Unidos,17 jul 2018,1,0,0,1
2018,5,Access and Mobility / Built Environment,Adictos a la Capital,Santiago caminable y pedaleable ¿Qué nos falta?,,Santiago / Chile,19 oct 2018,1,0,0,0
2018,5,Access and Mobility / Built Environment,II Seminario de ciudades,Transporte Urbano y Salud,,Santiago / Chile,18 oct 2018,1,0,0,0
2018,5,Access and Mobility / Built Environment,Urban Beers,Modelando (y mapeando) la percepción de atributos cualitativos de los espacios públicos,,Santiago / Chile,26 jun 2018,1,1,0,0
2018,1,Access and Mobility,The 21th AGILE International Conference on Geographic Information Science,Running a Spatial Data Infrastructure for Interdisciplinary Research. How we did it & what we learned so far. ,,Lund / Sweden,12-15 jun 2018,1,0,0,0
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Public transport and urban structure,,Medellín / Colombia,26-28 sep 2018,1,0,0,0
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Vehicle routing with steep road grades,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Un enfoque de aproximación continua para encontrar la densidad y localización óptima de centros de reciclaje,,Medellín / Colombia,27 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Modelos agregados para clasificar sistemas de transporte público urbano según características de las ciudades,,Medellín / Colombia,28 sep 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Justicia y sustentabilidad social del transporte: una mirada al tema de género y acceso al transporte público en Santiago de Chile,,Medellín / Colombia,28 sep 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Modelo secuencial de localización residencial y de elección de establecimiento educacional en Santiago de Chile,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Estimación de la demanda por viajes en bicicleta en la ciudad de Santiago de Chile,,Medellín / Colombia,27 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Corrección por evasión de una matriz de viajes en transporte publico obtenida a partir de datos pasivos,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Medición de accesibilidad universal de modos de transporte,,Medellín / Colombia,26 sep 2018,1,0,1,0
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,What factors determine the existence of level of service variability?,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,The underlying eFect of public transport reliability over users’ satisfaction,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Are public transport travellers rational?,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,¿Quién cómo cuándo y por qué se evade en transporte público? Caso de estudio: Transantiago Chile,,Medellín / Colombia,27 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Corrección por evasión de una matriz de viajes en transporte publico obtenida a partir de datos pasivos,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Impacto en la regularidad de los intervalos al considerar comportamientos distintos entre conductores de bus,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Más ciclistas más seguridad: un argumento microeconómico para el subsidio a la demanda de transporte en bicicleta,,Medellín / Colombia,26 sep 2018,1,0,0,1
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Ride into the danger zone: avoiding the wrong frequency for an express bus service.,,Medellín / Colombia,27 sep 2018,1,0,0,0
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Impacto de las barreras de transporte sobre el nivel de satisfacción con la vida,,Medellín / Colombia,26 sep 2018,1,0,0,0
2018,1,Access and Mobility,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,Factores que inciden en las estrategias de movilidad en barrios periféricos de concepción,,Medellín / Colombia,26 sep 2018,1,0,0,0
2018,1,Access and Mobility / Built Environment,XX Congreso Panamericano de Ingenieri?a de Tra?nsito Transporte y Logi?stica,¿Afectan las percepciones del espacio pu?blico el valor del suelo urbano? El caso de Santiago de Chile,,Medellín / Colombia,27 sep 2018,1,0,0,0
2018,1,Access and Mobility,Interdisciplinary Choice Workshop,Understanding the (ir)rationality of public transport travellers,,Santiago / Chile,9 ago 2018,1,0,0,1
2018,1,Access and Mobility,Interdisciplinary Choice Workshop,Modelling the effect of activity conduction preferences on departure time choices,,Santiago / Chile,10 ago 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,Interdisciplinary Choice Workshop,Semi-parametric estimates of the valuation of crowding in the New York City subway,,Santiago / Chile,9 ago 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,Interdisciplinary Choice Workshop,Latent segmentations of urban space in households’ location decisions,,Santiago / Chile,9 ago 2018,1,0,0,1
2018,1,Access and Mobility,Interdisciplinary Choice Workshop,A cumulative prospect theory approach to understand the impact of variability in waiting and in-vehicle times on route choice,,Santiago / Chile,10 ago 2018,1,0,0,1
2018,1,Access and Mobility,Interdisciplinary Choice Workshop,Cross-national and gender differences in preferences for waiting and traveling in public bus systems: evidence from lab experiments in Santiago Chile and London UK,,Santiago / Chile,10 ago 2018,1,0,0,1
2018,2,Access and Mobility,II Conferencia de las ciudades,Ideología de la automovilidad,,Santiago / Chile,18 oct 2018,1,0,0,0
2018,2,Access and Mobility / Built Environment,Adictos a la Capital,Santiago caminable y pedaleable ¿Qué nos falta?,,Santiago / Chile,19 oct 2018,1,0,0,0
2018,1,Access and Mobility,International Conference on Information Systems Logistics and Supply Chain,A Method to Determine Container Seaport Hinterlands,,Lyon/ France,9 jul 2018,1,0,0,1
2018,1,Acces and Mobility,ITEA Annual conference and school on transportation economics,A Bottleneck Model including Public Transport and Mixed Traffic,,Hong Kong/China,25-29 jun 2018,1,0,0,0
2018,1,Acces and Mobility,ITEA Annual conference and school on transportation economics,Slot auctions and trade at congested airports,,Hong Kong/China,25-29 jun 2018,1,0,0,0
2018,1,Acces and Mobility,ITEA Annual conference and school on transportation economics,Public transport and urban structure,,Hong Kong/China,25-29 jun 2018,1,0,0,0
2018,4,Access and Mobility / Built Environment,Mobilize 2018,Workshop Innovation in Africa,,Dar es Saalam / Tanzania,29 jun 2018,1,0,0,0
2018,1,Access and Mobility / Built Environment,7th International Symposium on Transportation Network Reliability,The underlying effect of public transport reliability over user’s satisfaction,,Sydney / Australia,17 ene 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,7th International Symposium on Transportation Network Reliability,Closing the gap between perceived and objective accessibility measures: A new approach to measuring public transport accessibility considering comfort transfers and reliability perception,,Sydney / Australia,17 ene 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,2018 MIT SCALE Latin America Conference,Determining port hinterlands: The case of agricultural products in South American ports,,United States,15-16 jun 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,2018 MIT SCALE Latin America Conference,Vehicle Routing Decisions with Steep Roads,,United States,15-16 jun 2018,1,0,0,1
2018,1,Access and Mobility / Built Environment,XIII Congreso de Ingeniería de Transporte,CORRECCIÓN POR EVASIÓN DE UNA MATRIZ DE VIAJES EN TRANSPORTE PÚBLICO OBTENIDA A PARTIR DE DATOS PASIVOS,,Gijón / España,7 jun 2018,1,0,0,1
2018,5,Access and Mobility / Built Environment,23º International Conference of Hong Kong Society for Transportation Studies,The full cost of bus headway variability and our experience to achieve a regular service,,Hong Kong/China,8 dic 2018,1,0,0,0
2018,5,Access and Mobility / Built Environment,Humedales urbanos y desarrollo turístico ¿Es posible la coexistencia?,Humedales Urbanos oportunidades y desafíos para ciudad más sustentables y resilientes,,Curaco de Vélez / Chile,22 ago 2018,1,0,0,0
2018,5,Access and Mobility / Built Environment,Movilidad Peatonal: Desafíos para la planificación urbana,Hacia una planificación democrática para Chile. Desafíos y oportunidades de la movilidad (y el acceso) de los caminantes,,Santiago / Chile,,1,0,0,0
2018,5,Access and Mobility / Built Environment,-,Los humadales urbanos y sus aportes a la resiliencia ante desastres,,Concepción / Chile,19 oct 2018,1,0,0,0
2018,2,Access and Mobility / Built Environment,Ciencia sin ficción,Movilidades ecologías y ciudades revolucionadas,,Concepción / Chile,9 oct 2018,1,0,0,0
2018,5,Access and Mobility / Built Environment,Concurso de Políticas Públicas 2018,Movilización de Plusvalías por intervenciones públicas,,Santiago / Chile,12 nov 2018,1,0,0,0
